Name,Age,fContact,fDiscipline,fPower,fSpeed,fDurability,TOTAL,FUTURE,BETA
Xavier Isaac,21,93,98,93,103,88,89,91,-
CJ Kayfus,23,94,95,94,76,92,87,89,-
Tre' Morgan,22,96,102,70,105,62,84,87,
Mookie Betts,32,107,145,129,118,105,119,114,4.41
Ketel Marte,31,105,134,138,90,116,119,125,1.05
Jose Altuve,35,106,108,96,118,128,113,107,1.74
Matt McLain,25,96,104,120,140,76,104,110,-
Jordan Westburg,26,101,78,121,86,93,95,111,-
Spencer Steer,27,94,123,97,124,137,115,122,14.89
Marcus Semien,34,99,119,96,94,150,111,108,7.34
Kristian Campbell,23,103,126,103,138,96,109,118,-
Bryson Stott,27,100,113,73,163,126,111,113,5.94
Luis Garcia Jr.,25,114,88,95,115,114,106,120,7.63
Max Muncy,34,95,156,153,76,76,106,105,-
Zac Gelof,25,97,86,111,172,111,111,116,-
Ozzie Albies,28,101,94,96,106,82,93,97,-
Nico Hoerner,28,105,123,53,160,139,112,114,0.88
Brandon Lowe,30,103,93,136,92,102,103,108,8.33
Luis Arraez,28,121,195,53,83,134,110,109,2.66
Jonathan India,28,98,136,95,98,124,106,115,-
Brice Turang,25,96,112,53,219,98,112,115,-
Xander Boegaerts,32,103,109,82,111,118,100,98,1.7
David Hamilton,27,94,101,80,260,81,114,117,-
Andres Gimenez,26,100,78,65,169,137,107,111,3.33
Nolan Gorman,25,97,86,142,105,109,103,106,-
Isaac Paredes,26,94,140,91,69,124,102,109,5.74
Matt Shaw,23,95,86,96,168,99,104,114,-
Gleyber Torres,28,109,118,85,69,136,102,103,4.28
Brandon Donovan,28,106,134,76,74,125,101,107,0.01
Connor Norby,25,104,84,112,89,113,99,107,-
Jake Cronenworth,31,100,129,82,87,131,103,100,6.05
Trevor Story,32,100,88,97,151,43,86,85,-
Zack McKinstry,30,107,104,80,180,92,100,106,5.01
Dylan Moore,32,92,128,112,197,86,115,116,-
Davis Schneider,26,94,116,125,101,102,100,100,-
Gavin Lux,27,103,116,87,81,112,95,103,-
Christopher Morel,26,90,96,117,68,117,96,101,6.98
Edouard Julien,26,102,126,101,97,74,91,103,-
Luis Rengifo,28,104,90,79,138,66,93,93,-
Geraldo Perdomo,25,97,150,58,113,114,97,109,10.8
Colt Keith,23,105,91,84,89,118,95,105,-
Luisangel Acuna,23,97,73,98,142,82,97,104,-
Tyler Black,24,92,123,72,173,71,95,103,-
Nick Yorke,23,103,103,86,105,113,98,105,
Spencer Horwitz,27,98,128,95,65,125,97,101,-
Jorge Polanco,31,103,110,116,85,102,98,99,4.69
Richie Palacios,28,93,140,68,168,45,95,102,-
Brendan Rodgers,28,111,87,92,67,109,91,96,24.25
Michael Massey,27,102,82,96,83,94,88,96,36.73
Jonathan Aranda,27,99,114,119,66,47,86,103,-
Travis Bazzana,22,93,122,93,155,73,93,102,-
Ryan Bliss,25,93,91,93,183,87,93,102,-
Jeff McNeil,33,103,106,78,82,112,93,95,-
Jorge Mateo,30,94,76,76,220,59,93,90,-
James Triantos,22,95,84,59,206,102,102,106,-
Hyeseong Kim,26,95,91,54,157,120,98,113,
Isiah Kiner-Falefa,30,99,93,55,129,106,92,94,4.52
Jared Triolo,27,103,108,78,113,98,93,95,-
Ronny Mauricio,23,93,64,88,159,60,85,98,-
Nick Gonzales,26,109,85,79,86,102,85,96,-
Jace Jung,24,91,128,89,61,75,84,99,-
Brooks Lee,24,100,90,79,89,82,83,96,-
Thomas Saggesse,23,100,74,80,86,87,81,92,-
Christian Moore,22,97,74,102,100,66,81,90,-
Jose Iglesias,35,108,91,57,86,102,84,85,-
Brayden Taylor,23,85,108,105,173,94,106,109,-
Hao-Yu Lee,22,99,79,85,151,66,89,97,-
Blaze Alexander,26,96,84,72,90,90,78,87,-
Leo Jimenez,24,96,95,80,83,90,80,85,-
Amed Rosario,29,106,64,63,139,94,86,79,5.57
Jett Williams,21,86,146,78,148,81,92,98,-
Miguel Vargas,25,86,127,76,88,80,82,81,-
Casey Schmitt,26,101,71,108,71,63,76,86,-
Cavan Biggio,30,91,133,79,91,55,81,80,-
Thairo Estrada,29,95,68,80,95,77,79,80,-
Luke Keaschall,22,96,110,86,137,81,96,96,-
JJ Wetherholt,22,99,126,79,128,61,90,94,-
Adael Amador,22,93,109,76,136,93,88,100,
Andrew Pintar,24,86,88,62,145,72,83,93,-
Curtis Mead,24,94,83,75,93,79,75,79,-
D.J. LeMahieu,36,97,123,73,63,81,78,69,-
Brandon Drury,32,90,92,81,68,104,79,75,-
Bobby Witt Jr.,25,109,102,142,135,145,133,155,5.46
Elly de la Cruz,23,103,94,129,216,139,141,146,-
Francisco Lindor,31,105,108,135,142,152,130,136,2.75
Gunnar Henderson,24,105,115,128,100,142,124,130,-
Mookie Betts,32,107,145,129,118,105,119,114,4.41
Oneil Cruz,26,94,94,139,164,108,118,131,-
Willy Adames,29,100,105,131,106,140,120,123,8.4
C.J. Abrams,24,97,84,90,183,121,114,122,-
Corey Seager,31,123,110,155,64,110,113,116,-
Trea Turner,32,108,81,105,137,140,114,115,5.51
Zach Neto,24,97,88,106,146,119,113,119,-
Dansby Swanson,31,102,105,105,126,137,113,112,0.15
Jackson Holliday,21,101,132,92,116,96,102,119,-
Ha-seong Kim,29,98,142,71,139,97,102,106,-
Anthony Volpe,24,93,89,80,157,141,110,113,-
Tyler Fitzgerald,27,103,79,112,157,111,108,115,-
Tommy Edman,30,100,103,84,168,76,94,106,13.95
David Hamilton,27,94,101,80,260,81,114,117,-
Masyn Winn,23,97,99,78,107,138,102,109,-
Maikel Garcia,25,99,113,59,193,126,113,115,-
Xavier Edwards,25,118,120,45,215,97,110,125,-
Andres Gimenez,26,100,78,65,169,137,107,111,3.33
Jeremy Pena,27,102,75,85,116,139,103,107,-
Carlos Correa,30,105,124,115,67,79,96,99,16.83
Brice Turang,25,96,112,53,219,98,112,115,-
Ezequiel Tovar,23,104,56,110,81,135,100,105,-
Jordan Lawlar,22,100,104,93,168,60,92,106,-
Cedanne Rafaela,24,98,52,93,121,127,97,103,-
Bo Bichette,27,108,82,85,87,75,83,76,-
Trevor Story,32,100,88,97,151,43,86,85,-
Brice Matthews,23,89,108,98,171,88,102,108,-
Luis Rengifo,28,104,90,79,138,66,93,93,-
Josh H. Smith,27,97,109,76,98,116,97,110,-
Trey Sweeney,25,91,88,87,130,91,94,106,
Carson Williams,22,86,91,100,133,109,101,105,-
Joey Ortiz,26,93,113,77,96,113,94,103,-
Geraldo Perdomo,25,97,150,58,113,114,97,109,10.8
Jose Tena,24,98,73,80,112,100,92,102,-
Hyeseong Kim,26,95,91,61,157,120,99,114,
Orlando Arcia,30,95,100,87,75,122,92,100,25.9
J.P. Crawford,30,93,140,73,88,101,93,94,11.92
Brendan Rodgers,28,111,87,92,67,109,91,96,24.25
Ernie Clement,29,104,97,68,109,98,91,106,-
Brayan Rocchio,24,98,94,67,87,115,87,94,-
Brooks Lee,24,100,90,79,89,82,83,95,-
Jacob Wilson,23,106,114,60,77,63,80,95,-
Oswald Peraza,25,91,89,78,140,54,87,100,-
Isiah Kiner-Falefa,30,99,93,55,129,106,92,94,4.52
Colson Montgomery,23,87,111,86,79,101,88,91,-
Paul DeJong,31,94,73,114,64,98,88,93,-
Marcelo Mayer,22,99,86,86,116,57,83,92,-
Brooks Baldwin,24,94,80,65,147,80,82,89,
Miguel Rojas,36,103,121,59,97,87,86,83,-
Blaze Alexander,26,96,84,72,90,90,78,87,-
Leo Jimenez,24,96,95,80,83,90,80,85,-
Amed Rosario,29,106,64,63,139,94,86,79,5.57
Casey Schmitt,26,101,71,108,71,63,76,86,-
Darell Hernaiz,23,98,92,58,104,84,79,89,-
Cole Young,21,95,121,65,110,102,92,94,-
Edumudo Sosa,29,98,61,88,125,67,82,84,53.26
Marco Luciano,23,92,106,77,78,65,78,88,11.62
Ezequiel Duran,26,95,71,73,70,77,71,73,-
Vaughn Grissom,24,110,83,59,88,34,66,64,-
Jose Ramirez,32,103,131,117,161,146,139,139,3.98
Rafael Devers,28,104,106,141,78,128,112,115,4.19
Jazz Chisholm Jr.,27,98,95,128,188,110,124,131,12.95
Manny Machado,32,102,99,133,88,133,114,116,6.28
Austin Riley,28,107,95,156,68,109,104,104,-
Matt Chapman,32,96,117,140,97,133,118,120,2.6
Eugenio Suarez,33,106,99,143,66,141,113,112,6.53
Alex Bregman,31,101,143,104,71,135,110,109,0.18
Royce Lewis,26,97,96,122,89,81,95,110,-
Jordan Westburg,26,101,78,121,86,93,95,109,-
Mark Vientos,25,97,78,141,66,116,101,114,-
Junior Caminero,21,93,81,117,86,86,91,106,-
Jake Burger,29,100,72,151,69,121,105,109,15.5
Max Muncy,34,93,151,149,73,76,104,101,-
Matt Shaw,23,95,86,96,168,99,104,114,-
Isaac Paredes,26,94,140,96,69,124,103,110,5.74
Brandon Donovan,28,106,134,76,74,125,101,107,0.01
Connor Norby,25,104,84,112,89,113,99,109,-
Ryan McMahon,30,110,109,108,65,133,103,100,1.96
Alec Bohm,28,106,105,84,71,127,98,100,-
Nolan Arenado,34,102,109,87,64,138,100,95,4.22
Josh Jung,27,104,68,114,100,69,84,99,-
Christopher Morel,26,90,96,117,68,117,96,101,6.98
Zach McKinstry,30,107,104,80,180,92,100,106,5.01
Tyler Black,24,92,123,72,173,71,95,103,-
Luis Rengifo,28,104,90,79,138,66,93,93,-
Willi Castro,28,102,88,84,115,123,101,108,5.05
Maikel Garcia,25,99,113,59,193,126,113,115,14.47
Noelvi Marte,23,96,72,82,138,96,91,97,-
Jose Tena,24,98,73,80,112,100,92,102,-
Matt Vierling,28,101,113,85,89,120,100,107,2.59
Coby Mayo,23,92,90,111,69,103,91,96,-
Josh H. Smith,27,97,109,76,98,116,97,110,-
Shay Whitcomb,26,89,79,98,149,108,101,120,
Joey Ortiz,26,93,113,77,96,113,94,103,-
Justyn Henry-Malloy,25,93,121,100,68,115,92,102,-
Jeimer Candelario,31,99,86,114,78,95,92,90,-
Zack Dezenzo,25,96,92,98,103,72,85,98,-
Deyvison de los Santos,22,93,45,108,71,123,89,95,-
James Triantos,22,95,84,59,206,102,102,106,-
Jared Triolo,27,103,108,78,113,98,93,95,-
Josh Rojas,31,101,113,70,115,107,93,92,8.49
Jace Jung,24,91,128,89,61,75,84,97,-
Yoan Moncada,30,105,98,99,87,39,87,91,-
Ramon Urias,31,100,100,103,69,86,87,90,-
Thomas Saggese,23,100,74,80,86,87,81,92,-
Orelvis Martinez,23,89,74,114,70,86,81,89,-
Jose Miranda,27,102,81,78,60,89,80,85,7.9
Ke'Bryan Hayes,28,101,93,59,117,92,85,81,-
Jon Berti,35,112,122,69,162,41,88,84,-
Cam Smith,22,96,89,102,81,69,80,87,-
Gio Urshela,33,110,87,75,67,108,84,84,-
Donovan Solano,37,112,96,76,72,86,83,82,-
Miguel Vargas,25,86,127,76,88,80,82,81,-
Casey Schmitt,26,101,71,108,71,63,76,86,-
Cavan Biggio,30,91,133,79,91,55,81,80,5.7
Brett Baty,25,94,94,82,70,77,75,82,-
Sterlin Thompson,24,92,80,83,113,102,88,92,-
Curtis Mead,24,94,83,75,93,79,75,79,-
Brady House,22,92,48,79,82,101,77,78,-
D.J. LeMahieu,36,97,123,73,63,81,78,69,-
Brandon Drury,32,90,92,81,68,104,79,75,-
Ezequiel Duran,26,95,71,73,70,77,71,73,-
Brock Wilken,23,80,112,99,71,104,85,86,-
Shohei Ohtani,30,112,119,206,188,142,165,174,6.16
Aaron Judge,33,116,170,240,85,128,155,156,7.27
Juan Soto,26,101,186,163,77,138,136,152,1.73
Ronald Acuna Jr.,27,108,126,129,186,90,117,132,-
Kyle Tucker,28,110,160,143,129,76,120,132,8.46
Corbin Carroll,24,94,119,119,179,125,128,139,22.3
Yordan Alvarez,28,113,136,171,78,120,126,128,1.21
Mookie Betts,32,107,145,129,118,105,119,114,4.41
Julio Rodriguez,24,105,80,124,139,126,115,122,0.28
Fernando Tatis Jr.,26,106,89,160,127,83,111,119,20.69
Kyle Schwarber,32,93,142,175,69,135,126,127,4.34
Jazz Chisholm Jr.,27,98,95,128,188,110,124,131,12.95
Lawrence Butler,24,103,91,127,156,121,117,134,-
Wyatt Langford,23,98,127,117,135,123,118,126,-
Jackson Chourio,21,103,84,110,143,127,114,126,-
James Wood,22,102,118,116,121,121,114,123,-
Oneil Cruz,26,94,94,139,164,108,118,131,-
Jarren Duran,28,105,90,108,153,124,120,133,10.62
Jackson Merrill,22,115,81,108,115,119,110,125,-
Riley Greene,24,115,106,126,73,104,113,124,2.04
Brent Rooker,30,111,96,167,92,125,123,125,34.88
Teoscar Hernandez,32,110,84,148,97,135,118,119,7.13
Marcel Ozuna,34,109,105,151,67,140,118,122,8.04
Michael Harris II,24,104,75,125,103,97,100,107,2.37
Anthony Santander,30,96,106,141,74,141,116,120,2.28
Christian Yelich,33,119,134,106,167,75,114,114,-
Spencer Steer,27,94,123,97,124,137,115,122,14.89
Ian Happ,30,103,125,122,97,139,118,124,1.04
Seiya Suzuki,30,108,126,126,90,125,116,122,0.99
Randy Arozarena,30,92,116,109,109,135,112,116,2.22
Bryan Reynolds,30,118,96,112,92,138,112,113,4.17
Mike Trout,33,100,140,175,121,56,109,107,-
Jasson Dominguez,22,97,107,123,191,108,115,123,-
Colton Cowser,25,107,107,127,90,124,110,121,-
Kristian Campbell,23,103,126,103,138,96,109,118,-
Josh Lowe,27,105,86,104,205,112,115,121,26.71
Steven Kwan,27,106,179,60,111,127,110,113,9.01
Luis Robert,27,104,69,115,158,116,108,113,9.15
Heliot Ramos,25,110,84,130,93,123,109,114,
Brenton Doyle,27,100,79,121,162,124,118,126,-
Kerry Carpenter,27,110,86,162,63,78,98,105,-
Dylan Crews,23,92,88,87,171,91,104,116,-
Emmanuel Rodriguez,22,93,181,120,95,44,97,118,-
Brandon Nimmo,32,99,127,103,106,138,114,113,2.32
Cody Bellinger,29,102,104,109,106,119,106,108,14.79
Cedric Mullins,30,96,113,92,170,118,115,121,2.93
Lane Thomas,29,96,101,94,124,129,109,112,3.22
Nicholas Castellanos,33,113,77,109,90,142,107,111,4.86
Tyler O'Neill,30,95,107,157,102,90,109,113,43.53
Lars Nootbaar,27,102,156,112,87,99,105,108,0.81
Tommy Edman,30,100,103,84,168,76,94,106,13.95
Matt Wallner,27,97,99,170,92,108,111,123,-
Pete Crow-Armstong,23,97,72,98,183,120,110,114,-
Victor Robles,28,106,94,68,247,81,112,127,-
George Springer,35,97,114,111,118,131,112,109,2.49
Garrett Mitchell,26,105,109,121,139,71,101,115,-
Wilyer Abreu,26,104,107,118,90,109,102,109,-
Taylor Ward,31,107,112,117,78,128,108,107,4.51
Adolis Garcia,32,98,84,132,96,139,110,109,8.39
Jurickson Profar,32,101,134,95,86,131,110,115,20.19
Roman Anthony,21,98,129,97,117,100,103,111,-
Alec Burleson,26,100,100,86,76,126,99,113,-
Jordan Walker,23,96,76,104,90,73,81,93,-
Brandon Marsh,27,111,107,115,131,113,111,121,9.42
Joc Pederson,33,99,127,144,66,100,108,107,12.41
Jorge Soler,33,98,122,145,68,115,108,112,7.58
Parker Meadows,25,98,104,100,124,98,99,108,-
Evan Carter,22,94,125,98,117,74,91,104,-
Jake McCarthy,27,106,96,62,174,109,106,112,14.92
Byron Buxton,31,102,85,159,111,79,106,109,13.67
J.J. Bleday,27,97,122,102,77,111,100,110,37.55
Luke Raley,30,97,83,133,119,93,104,109,1.41
Cedanne Rafaela,24,98,52,93,121,127,97,103,-
Michael Conforto,32,97,116,136,69,112,103,104,6.39
Brendan Donovan,28,106,134,76,74,125,101,107,0.01
Trevor Larnach,28,108,116,120,79,83,98,105,-
Lourdes Gurriel Jr.,31,108,94,96,89,115,101,105,-
Jesus Sanchez,27,100,92,126,110,116,105,111,5.62
Willi Castro,28,102,88,84,115,123,101,108,5.05
Jhonkensy Noel,23,90,69,136,69,110,94,104,-
T.J. Friedl,29,95,119,83,120,90,97,101,-
Daulton Varsho,28,94,99,100,99,118,101,100,6.57
Matt Vierling,28,101,113,85,89,120,100,107,2.59
J.D. Martinez,37,108,98,138,66,113,101,94,4.89
Gioncarlo Stanton,35,89,101,177,62,89,103,99,10.2
Sterling Marte,36,113,89,83,163,71,99,94,15.19
Heston Kjerstad,26,103,88,106,82,79,88,104,-
Nolan Jones,27,100,119,100,84,66,86,97,-
Leody Taveras,26,98,91,83,144,117,102,113,5.27
Andy Pages,24,108,95,111,76,91,92,107,-
Jo Adell,26,92,85,122,101,81,95,110,-
Jake Fraley,30,107,100,82,156,85,98,100,8.94
Chase DeLauter,23,98,116,94,90,58,82,96,-
Jared Kelenic,25,96,93,114,108,96,97,107,21.84
Davis Schneider,26,94,116,125,101,102,100,100,-
Will Benson,27,96,112,114,154,85,104,101,-
Masataka Yoshida,31,104,112,85,82,115,96,97,-
Joey Loperfido,26,103,77,92,130,116,98,110,-
Jung Hoo Lee,26,109,152,60,51,68,81,108,-
Sal Frelick,25,94,134,44,135,113,97,94,-
Victor Scott II,24,91,80,62,234,101,102,108,-
Jacob Young,25,105,99,44,184,126,105,109,
Colby Thomas,24,95,58,124,106,110,96,105,-
Christopher Morel,26,90,96,117,68,117,96,101,6.98
Dalton Rushing,24,93,121,107,66,95,93,103,
Jonatan Clase,23,92,88,83,233,104,110,109,
Jose Siri,29,90,68,135,146,97,101,102,11.94
Andrew Benintendi,30,104,115,88,81,123,100,103,5.24
Kevin Alcantara,22,97,89,88,118,106,94,102,
Mike Yastrzemski,34,96,107,125,71,112,100,97,2.51
LaMonte Wade Jr.,31,101,143,100,72,96,97,100,2.41
Justyn Henry-Malloy,25,93,121,100,68,115,92,102,-
Pavin Smith,29,99,141,122,76,49,90,98,-
Ramon Laureano,30,107,76,131,111,88,96,100,-
M.J. Melendez,26,98,98,111,65,111,94,99,0.4
Jordan Beck,24,102,88,91,135,92,93,105,-
Dylan Moore,32,92,128,112,197,86,115,116,-
Jeff McNeil,33,103,106,78,82,112,93,95,-
Kyle Stowers,27,94,81,113,64,100,88,93,
Andrew McCutchen,38,96,133,112,79,102,101,95,3.28
Bryan de la Cruz,28,105,71,103,87,130,97,94,0.68
Jonny De Luca,26,107,86,74,143,96,93,97,
Esteury Ruiz,26,92,80,91,265,58,99,117,-
Spencer Jones,24,106,68,96,138,112,99,106,-
Caleb Durbin,25,88,123,78,208,92,107,116,
Chandler Simpson,24,101,134,32,383,99,138,142,-
Sam Hilliard,31,93,92,143,123,55,93,107,
Owen Caissie,22,96,94,103,91,114,94,103,-
Alejandro Osuna,22,99,88,92,123,104,96,107,
Zach Dezenzo,25,96,92,98,103,72,85,98,-
Alex Verdugo,29,102,121,77,72,131,96,94,1.55
Tommy Pham,37,99,111,96,99,118,97,92,5.67
Harrison Bader,31,92,79,82,144,100,94,97,9.74
Zac Veen,23,90,87,87,225,67,98,105,-
Jack Suwinski,26,93,117,128,131,71,98,105,-
Jake Meyers,29,96,88,83,104,106,92,97,2.9
Johan Rojas,24,95,70,52,231,101,100,99,8.49
Richie Palacios,28,93,140,68,168,45,95,102,-
Tyrone Taylor,31,99,80,103,129,93,95,94,-
Jerar Encarnacion,27,107,81,119,84,75,87,95,-
Hyeseong Kim,26,95,91,54,157,120,98,113,
Josh Rojas,31,101,113,70,115,107,93,92,8.49
Seth Brown,32,102,84,113,76,101,92,90,5.85
Jacob Melton,24,89,74,94,214,104,104,108,-
Blake Perkins,28,92,120,63,149,90,96,92,-
Rob Refsnyder,34,103,113,105,81,66,88,93,
David Fry,29,97,98,106,80,69,87,87,-
Austin Martin,26,96,121,55,134,81,88,100,-
Ronny Mauricio,23,93,64,88,159,60,85,98,-
Henry Davis,25,89,99,84,75,72,74,86,-
Hunter Renfroe,33,96,100,102,63,106,90,86,5.51
Mike Tauchman,34,99,145,81,83,69,88,91,4.15
Griffin Conine,27,94,87,103,67,83,86,91,
Everson Periera,24,96,74,109,119,79,86,96,-
Chas McCormick,30,101,85,98,124,80,89,87,-
Tirso Ornelas,25,96,92,89,78,122,91,101,
Mitch Haniger,34,92,103,109,68,86,87,86,-
Nelson Velazquez,26,92,95,137,86,40,83,90,-
Alek Thomas,25,98,86,87,131,60,82,89,-
Dylan Beavers,23,87,105,86,176,109,104,107,
Jon Berti,35,112,122,69,162,41,88,84,-
Joshua Palacios,29,95,101,96,105,35,76,101,
Dominic Canzone,27,103,92,114,84,67,87,87,
Graham Pauley,24,90,101,94,103,98,90,94,-
Mark Canha,36,97,126,67,100,97,90,79,0.42
Daniel Schneeman,28,104,104,72,93,93,83,86,-
Max Kepler,32,106,94,88,71,93,84,81,-
James Outman,28,90,107,105,99,60,82,77,-
Jhostynxon Garcia,22,97,67,101,102,90,89,97,-
Austin Hays,29,102,69,99,73,84,79,79,-
Jakob Marsee,24,85,143,65,220,113,115,118,-
Alexander Canario,25,90,81,103,98,52,80,91,
